matrix_idx;dimension;resolution;original_eigenvalues;reconstructed_eigenvalues;original_eigenvectors;reconstructed_eigenvectors;depth;job_ids;n_qubits
1;2;6;[1.8976963432568157, 0.10230365674318453];[1.90625];[[-0.7071067811865472, -0.7071067811865478]];[[-0.725184813729825, -0.7136106392761894]];678+8396;('ckemp7fu81h8llpg07hg', 'ckempnfu81h8llpg07u0');27
1;4;4;[3.499462874061397, 0.42845191060422144, 0.0598122831544632, 0.012272932179918233];[2.7500000000000004, 1.5000000000000004, 1.0000000000000002, 0.5000000000000001];[[-0.46853556299402366, -0.5170223256665004, -0.5178365572264754, -0.49498246531782103], [-0.7086090362980827, -0.24722019396764247, 0.35537485745489206, 0.5571930725163575], [-0.5274395574250829, 0.7960185740034946, -0.03579618293242919, -0.2947551125801612], [0.012456851520652755, 0.19474218931307005, -0.7773497565293339, 0.5980365060558844]];[[-0.5112519382093873, -0.5339866894778256, 0.4844571531730791, -0.48823764935703057], [0.529625685718442, 0.5395878079006126, 0.5044777088354532, 0.49869961553512354], [-0.5651489998360928, 0.4779146724872661, 0.5351840449064835, 0.4292083334773448], [0.5458400301594277, 0.5078705737556092, 0.5158518904686722, 0.4971408286142895]];1657+16688;('ckemsdah9ipuhtuimn9g', 'cken1gs679vdg1p3e6vg');27
1;4;6;[3.499462874061397, 0.42845191060422144, 0.0598122831544632, 0.012272932179918233];[3.000000000000001, 1.6250000000000004, 0.6250000000000001, 0.5000000000000001];[[-0.46853556299402366, -0.5170223256665004, -0.5178365572264754, -0.49498246531782103], [-0.7086090362980827, -0.24722019396764247, 0.35537485745489206, 0.5571930725163575], [-0.5274395574250829, 0.7960185740034946, -0.03579618293242919, -0.2947551125801612], [0.012456851520652755, 0.19474218931307005, -0.7773497565293339, 0.5980365060558844]];[[-0.7117445891806097, -0.6029130988867305, -0.6412276401077827, -0.6610486039600005], [-0.6693032659044641, -0.7048883161466941, -0.6293975672799523, -0.5868119867511848], [-0.6304926512604991, -0.6486379469779162, -0.7186664052674411, -0.5750696867356689], [-0.7041222978776559, -0.6397090192923411, -0.6232183486038146, -0.6531801754787354]];6789+67788;('cki2nok679vdg1p4mde0', 'cki2or4679vdg1p4mdqg');27
2;2;6;[1.895717677112505, 0.10428232288749714];[1.4062500000000013, 0.40625000000000033];[[0.7071067811865476, 0.7071067811865475], [-0.7071067811865475, 0.7071067811865476]];[[-0.6554281353077754, -0.778432815827097], [-0.6892567267206003, -0.7751427395884158]];678+8395;('ckeptmfmhqvq1icr46mg', 'ckeqmi77lhfc2h9irh7g');27
2;4;4;[3.707298074347208, 0.26886534226524383, 0.020325948507381564, 0.003510634880169606];[2.500000000000001, 2.000000000000001, 1.0000000000000004];[[-0.4690421717761808, -0.5158082262316488, -0.5123033862165232, -0.5014843520174161], [-0.8234774646216998, -0.01819357597911609, 0.30316455118360275, 0.47921301522282755], [-0.31917445468236627, 0.8080247289061993, -0.03801867729184418, -0.4937390860882457]];[[-0.5487518761633645, 0.4862151974976554, -0.5021952046949509, 0.4779602673588784], [0.5126081842221671, -0.4989437970463271, 0.5624337564254368, -0.5296536082301425], [-0.5587088279080291, 0.4701337918702503, 0.48207335463700857, -0.49841264068396424]];1657+16688;('ckeo3hom3kt305s3gfdg', 'ckeog9qh9ipuhtuind3g');27
2;4;6;[3.707298074347208, 0.26886534226524383, 0.020325948507381564, 0.003510634880169606];[3.6250000000000018, 3.1250000000000013, 2.000000000000001, 0.6250000000000002];[[-0.4690421717761808, -0.5158082262316488, -0.5123033862165232, -0.5014843520174161], [-0.8234774646216998, -0.01819357597911609, 0.30316455118360275, 0.47921301522282755], [-0.31917445468236627, 0.8080247289061993, -0.03801867729184418, -0.4937390860882457], [0.003460322805093748, 0.28408960737928646, -0.802615147847153, 0.5244902721609431]];[[0.5610788388546535, -0.6591516700859809, -0.5620999825765404, -0.5961375105401854], [-0.5903915019517497, -0.5779946672111976, -0.6323555500027441, -0.568670517899426], [-0.6445098841660953, 0.6071815445939636, -0.558046812207127, -0.6171312762787807], [-0.5455642121810126, -0.6423769634133273, -0.5971124056659934, -0.5264093593030402]];6789+67791;('cki5go4679vdg1p4o2fg', 'cki5hlv7lhfc2h9k3tqg');27
3;2;6;[1.9767467755480128, 0.02325322445198863];[1.4687500000000007, 0.4687500000000002];[[0.7071067811865477, 0.7071067811865474], [-0.7071067811865474, 0.7071067811865477]];[[-0.7134334526787951, -0.7386244440864591], [-0.6954001258181095, -0.737459575015864]];678+8395;('cki2lj77lhfc2h9k28og', 'cki2m3ih9ipuhtujv84g');27
3;4;4;[3.7154876809682325, 0.24205367530506006, 0.04021614646432791, 0.002242497262380935];[3.0000000000000013, 2.500000000000001, 2.000000000000001, 0.5000000000000002];[[0.5015234427541154, 0.5126623938874156, 0.5142086361063576, 0.4703626099248571], [0.43205719595694697, 0.2821909055770811, 0.077562143752005, -0.8530410225118136], [0.7076182051103477, -0.26840615587485045, -0.617801455278116, 0.21343845281752155], [-0.24713820341317239, 0.7651821339992839, -0.589826206832549, 0.07432399313504832]];[[0.5324193598502263, -0.5077534740718161, -0.49884962244510095, -0.4147908133619049], [-0.5280488763570333, 0.5353818526598015, 0.4626959498108738, -0.47159299794181203], [0.5011824705687448, 0.49437105636007306, -0.5562299325071456, 0.4090463049780783], [-0.51880053163022, -0.5298845807178535, 0.5308225986801931, 0.4546167604732196]];1657+16688;('ckkjn3em6o8b1gfc0fgg', 'ckklge637u83m48q1120');27
4;2;6;[1.9904144094325575, 0.009585590567443129];[1.5000000000000007, 1.0000000000000004];[[-0.7071067811865475, -0.7071067811865475], [-0.7071067811865475, 0.7071067811865475]];[[-0.7504695981213428, -0.7727879707371729], [-0.7038469294219503, -0.7468111152635235]];678+8420;('ckin742h9ipuhtuk7k4g', 'ckio2av7lhfc2h9kauhg');27
4;4;4;[3.6502620935432857, 0.3312781308663792, 0.012310681455963183, 0.006149094134372403];[3.000000000000001, 2.0000000000000004, 1.2500000000000002, 0.5000000000000001];[[0.494363566547866, 0.5066321810208543, 0.5062949086397924, 0.49253828552666856], [0.5633931138832405, 0.4241363689809078, -0.41597269518007884, -0.5741630923363662], [0.08723763657590555, 0.031068955543692732, -0.7516059730956738, 0.6530794560947231], [0.6561878222457862, -0.7499779287840201, 0.07563493608744647, 0.03507142307080942]];[[0.5309912602156861, 0.4791846016756261, 0.42765260170204855, 0.4537252388562811], [0.5364768389758068, -0.5346963717528935, 0.5048670592396935, 0.4289297998201039], [0.4973333357271887, -0.4930239057453425, 0.5427284433609003, 0.4350163654552334], [0.5415493145958823, 0.4897711517105072, 0.4526290977431225, 0.3893411574922559]];1657+16691;('ckkmvae37u83m48q1i4g', 'cklg9v6m6o8b1gfccku0');27
5;2;6;[1.8772281534555535, 0.12277184654444695];[1.8750000000000004, 1.3750000000000002];[[0.7071067811865476, 0.7071067811865475], [-0.7071067811865475, 0.7071067811865476]];[[-0.722470799739003, -0.7046748613770577], [-0.7602159914215383, -0.7247775782759222]];678+8396;('ckj54lah9ipuhtukcnig', 'ckj609fmhqvq1icsp6gg');27
5;4;4;[3.7140888326629007, 0.25140922083930495, 0.03224663087810474, 0.0022553156196902318];[3.500000000000001, 2.0000000000000004, 1.2500000000000002, 0.5000000000000001];[[-0.468985200662531, -0.5137859469536914, -0.5128354601731717, -0.5030672649471394], [-0.8489821084697499, 0.05522708709424473, 0.2932968622331563, 0.43606914469327845], [-0.241887815048351, 0.7561913672118034, 0.057370936526872286, -0.6052879287805994], [-0.02779471152787168, 0.4014331646966011, -0.8047889891363981, 0.43634109508224006]];[[0.5194865856121386, 0.541164269341691, -0.5323454837023328, 0.4428958865568021], [-0.5600347786777775, -0.5181966792876357, 0.46148826818619143, 0.45870024892910366], [0.556983198745464, -0.5463901820326621, -0.5058481143706833, 0.4882778743146744], [0.5157936043702883, 0.4567053583640589, 0.5326615390684278, 0.49570560494823657]];1657+16687;('cklrahkugl1jd71io37g', 'cklrksmpb91m223lbve0');27
1;2;6;[1.8976963432568157, 0.10230365674318453];[1.40625, 0.40625];[[-0.7071067811865472, -0.7071067811865478], [-0.7071067811865478, 0.7071067811865472]];[[-0.7793176735038314, -0.758065777343091], [-0.7669484709397847, -0.7186954544208873]];678+8396;('ckmgq2em6o8b1gfcq3n0', 'ckmigtmm6o8b1gfcqmt0');127
1;4;4;[3.499462874061397, 0.42845191060422144, 0.0598122831544632, 0.012272932179918233];[3.250000000000001, 2.5000000000000004, 2.0000000000000004, 0.5000000000000001];[[-0.46853556299402366, -0.5170223256665004, -0.5178365572264754, -0.49498246531782103], [-0.7086090362980827, -0.24722019396764247, 0.35537485745489206, 0.5571930725163575], [-0.5274395574250829, 0.7960185740034946, -0.03579618293242919, -0.2947551125801612], [0.012456851520652755, 0.19474218931307005, -0.7773497565293339, 0.5980365060558844]];[[-0.5441008351293908, 0.4606274538228746, 0.4945607657482739, 0.5154394947115577], [-0.54546481032842, -0.5003413089966182, 0.49298727501663164, -0.4729034508934488], [-0.43332737811662675, -0.5063684729648059, -0.5545905730758038, 0.47997242058853107], [-0.5412758388203426, 0.5130185202935004, 0.5074812402180836, -0.4952368225335795]];1657+16688;('ckmitkpgpod0ktglfmeg', 'ckmmec6pb91m223llmv0');127
3;2;6;[1.9767467755480128, 0.02325322445198863];[0.9687500000000004, 0.4687500000000002];[[0.7071067811865477, 0.7071067811865474], [-0.7071067811865474, 0.7071067811865477]];[[-0.7205847048089913, -0.6788082300103165], [-0.7235145832417371, -0.6922640547907404]];678+8395;('ckil63s679vdg1p4u050', 'ckil7m4679vdg1p4u0h0');127
3;4;4;[3.7154876809682325, 0.24205367530506006, 0.04021614646432791, 0.002242497262380935];[2.500000000000001, 2.000000000000001];[[0.5015234427541154, 0.5126623938874156, 0.5142086361063576, 0.4703626099248571], [0.43205719595694697, 0.2821909055770811, 0.077562143752005, -0.8530410225118136]];[[-0.49964442563937095, -0.5328008549398228, 0.44689582016145984, 0.45002176747840983], [0.5284369520181776, 0.47640979568039066, 0.4162458773094999, 0.47412281553374047]];1657+16687;('ckkmkmtdbp4uq5b8g9ng', 'ckkmmvddbp4uq5b8gapg');127